Ort	Geo	Datum	Getty	Symbol	Gender
Altena	51.304016,7.671876	1889	7006098	Priesterhände	Mann
Ansbach	49.311285,10.570473	1889	7004459	Levitenkanne	Mann
Bingen	49.962935,7.89771	1889	7012309	Priesterhände	Mann
Chemnitz	50.828331,12.889473	1889	7005951	Magen David	Frau
Dillingen-Diefflen	49.369234,6.753313	1889	1038818	Priesterhände	Mann
Geseke	51.645134,8.505151	1889	7012478	Blume	Mann
Haigerloch	48.36392,8.807413	1889	1039436	Buch	Mann
Haigerloch	48.36392,8.807413	1889	1039436	Levitenkanne	Mann
Haigerloch	48.36392,8.807413	1889	1039436	Stern	Frau
Krefeld (alter Friedhof)	51.316734,6.55169	1889	7005980	Magen David	unbekannt
Laupheim	48.231932,9.884036	1889	1040058	Vanitas-Symbol	Frau
Mönchengladbach	51.188645,6.428684	1889	7004975	Priesterhände	Mann
Oranienburg	52.750548,13.228051	1889	1037432	Magen David	Mann
Siegburg	50.801352,7.203499	1889	7005104	Priesterhände	unbekannt
Sondershausen	51.360182,10.869193	1889	1037748	Schmetterling	Frau
Bad Münstereifel	50.557018,6.767275	1890	7012589	Magen David	Mann
Bad Münstereifel-Arloff	50.59517,6.800081	1890	7012589	Priesterhände	Mann
Bingen	49.962935,7.89771	1890	7012309	Vanitas-Symbol	Mann
Bingen	49.962935,7.89771	1890	7012309	Rose	Frau
Bingen	49.962935,7.89771	1890	7012309	Schmetterling	beide
Chemnitz	50.828331,12.889473	1890	7005951	Priesterhände	Mann
Haigerloch	48.36392,8.807413	1890	1039436	Buch	Mann
Laupheim	48.231932,9.884036	1890	1040058	Vanitas-Symbol	Frau
Neunkirchen	49.326803,7.170049	1890	1040470	Magen David	Frau
Neunkirchen	49.326803,7.170049	1890	1040470	Magen David	Mann
Siegburg	50.801352,7.203499	1890	7005104	Priesterhände	Mann
Bingen	49.962935,7.89771	1891	7012309	Vanitas-Symbol	unbekannt
Bingen	49.962935,7.89771	1891	7012309	Priesterhände	beide
Dillingen-Diefflen	49.369234,6.753313	1891	1038818	Rose	Mann
Dinslaken	51.560917,6.723472	1891	1038827	Magen David	unbekannt
Frankfurt am Main	50.124557,8.647792	1891	7005293	Levitenkanne	Mann
Haigerloch	48.36392,8.807413	1891	1039436	Buch	Frau
Haigerloch	48.36392,8.807413	1891	1039436	Buch	Frau
Haigerloch	48.36392,8.807413	1891	1039436	Buch	Frau
Hennef	50.768785,7.267189	1891	1039545	Priesterhände	Mann
Korschenbroich	51.154744,6.503791	1891	1039924	Schmetterling	Mann
Krefeld (alter Friedhof)	51.316734,6.55169	1891	7005980	Vanitas-Symbol	unbekannt
Kusterdingen-Wankheim	48.508472,9.100833	1891	7087635	Vanitas-Symbol	Mann
